reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
a74fcbb7-8da5-4baf-84c1-fb105a558d78,Meilisa Puspita Handayani,https://play-lh.googleusercontent.com/a-/AD_cMMSGLx1P2XP5Kfl55dCUHAuX-V0WPG47uBIw07YyUPt-Hqw,"Gagal menghubungkan ke dokter, uang direfund dengan voucher. It's so bad.",1,0,2.1.36,2023-04-06 20:57:25,"Dear Meilisa Puspita Handayani, mohon maaf atas ketidaknyamanannya. Ulasan kamu sangat membantu kami untuk memperbaiki pelayanan kami kedepannya. Jika berkenan silakan hubungi layanan Customer Care melalui WhatsApp 0811800629 yang bisa diakses 24 jam untuk membahas lebih lanjut ulasan kamu. #JagaSehatmu",2023-04-06 22:06:38
a305fd8e-d33a-40d2-86dd-e52440548954,Rayfan Tio Saputro,https://play-lh.googleusercontent.com/a/AAcHTtfD16yqpRXGBX8OaCYPG6iQ3XE_tPLIoDVH7QvURr49ng=mo,Konsep refundnya kok berupa voucher,1,0,2.1.36,2023-03-31 17:49:58,"Dear Rayfan Tio Saputro, mohon maaf atas ketidaknyamanannya. Ulasan kamu sangat membantu kami untuk memperbaiki pelayanan kami kedepannya. Jika berkenan silakan hubungi layanan Customer Care melalui WhatsApp 0811800629 yang bisa diakses 24 jam untuk membahas lebih lanjut ulasan kamu. #JagaSehatmu",2023-03-31 18:16:44
815921fc-3149-429a-8b5d-22ffba6c0cd9,sheila sofie,https://play-lh.googleusercontent.com/a-/AD_cMMSwoCgMmIsKAUOXkwchL734dM8g68iMg4Yhqd1GHSWVhQ,Thank you,5,0,,2023-03-20 04:37:46,"Dear sheila sofie, terima kasih sudah menggunakan aplikasi KlikDokter untuk solusi kesehatan kamu. Jika ada pertanyaan, hubungi Customer Care via WhatsApp 0811800629 yang bisa diakses setiap hari selama 24 jam. #JagaSehatmu",2023-03-20 04:41:46
0a9450d9-ec77-4012-a8c0-d2258177b3ea,Anthonio Wirman L,https://play-lh.googleusercontent.com/a-/AD_cMMSHqTT2l_IPreeQjYm_bt-GbsgIFih-uyejmL_eutknY-M,"ini app nya kenapa belakangan selalu muncul message ""terjadi kesalahan, silahkan di ulangi lagi""?",5,0,2.1.33,2023-02-14 22:25:16,"Hai Anthonio Wirman L, terima kasih atas saran dan masukkannya. Mengenai hal tersebut akan menjadi bahan evaluasi agar kami lebih baik kedepannya. Agar kami dapat membantu lebih baik jika berkenan mohon informasikan nama akun atau email yang terdaftar agar dapat dilakukan pengecekan lebih lanjut melalui WhatsApp 089520032409 ^dw",2021-11-09 14:05:53
b4b33219-edbb-4109-99a2-653059a25236,Cindy Fitriani,https://play-lh.googleusercontent.com/a/AAcHTtdGzeAXAUCd0rULxZR_khARnUlKTiFST5JZOfhLlE_m=mo,Aplikasi gak jelas gak usaj di instal,1,0,2.1.33,2023-02-13 09:59:11,"Dear Cindy Fitriani, mohon maaf atas ketidaknyamanannya. Ulasan kamu sangat membantu kami untuk memperbaiki pelayanan kami kedepannya. Jika berkenan silakan hubungi layanan Customer Care melalui WhatsApp 0811800629 yang bisa diakses 24 jam untuk membahas lebih lanjut ulasan kamu.#JagaSehatmu",2023-02-13 10:23:44
f23ce3f4-f750-4f8b-9e24-ab3916fc14f7,Mr Djadoel,https://play-lh.googleusercontent.com/a-/AD_cMMRrt8ZAvUQKpWuw3LAQqfWmEE6T9SOuVil5UyUtXU8jhxw,"Nyoba untuk konsul ke dokter. Tapi udah nyari2 dokter ga ada yang bisa di chat untuk konsul, udah bayar tapi gada dokternya. Terus terusan dapat voucher (untuk pengembalian dana ya bukan buat bonus atau beneran voucher) jadi terpaksa kita harus coba lagi dan hasilnya masih gada dokternya. Jadinya bukannya konsul sama dokter malah konsul sama CS buat pengembalian dana. Anak yang sakit bapanya yang pusing klo gini haha.",1,1,2.0.38,2023-01-22 11:51:10,"Dear Mr Djadoel, mohon maaf atas ketidaknyamanannya. Ulasan kamu sangat membantu kami untuk memperbaiki pelayanan kami kedepannya. Jika berkenan silakan hubungi layanan Customer Care melalui WhatsApp 0811800629 yang bisa diakses 24 jam untuk membahas lebih lanjut ulasan kamu.#JagaSehatmu",2023-01-22 12:31:49
cfac739b-cf76-4553-92be-27abf297e444,Posan Rani,https://play-lh.googleusercontent.com/a/AAcHTtc_wFZtJa1sGF1l-rLPLopuKBDXJbqkQarhL7B9jjVA=mo,"Dokternya pada tidak standby pindah dokter 3 kali baru ada yg respons, padahal indikatornya bulatan hijau menunjukkan dokter siap. Tidak didukung jaringan apotik yang luas. Saya tidak dapat menebus obat yang diresepkan karena menurut aplikasi tidak ada apotik dekat alamat saya, disarankan CS nya untuk memesan dari apotik 20 km jauhnya. Ga usah pakai aplikasi ini deh ngabisin uang untuk bayar konsultasi saja. Auto uninstall.",1,0,2.0.38,2023-01-19 18:09:36,"Dear Posan Rani, mohon maaf atas ketidaknyamanannya. Ulasan kamu sangat membantu kami untuk memperbaiki pelayanan kami kedepannya. Jika berkenan silakan hubungi layanan Customer Care melalui WhatsApp 0811800629 yang bisa diakses 24 jam untuk membahas lebih lanjut ulasan kamu.#JagaSehatmu",2023-01-19 19:27:43
78138fd3-6f4f-4b46-8fdc-f7b49827ba6a,Furqon Permadi,https://play-lh.googleusercontent.com/a/AAcHTtfJYqh8KugZpnPWcIKVRh0vAivWDheWOJ0fUUB5HAyx=mo,Cs nya ramah,5,10,2.0.29,2023-01-03 15:21:37,"Dear Furqon Permadi, terima kasih sudah menggunakan aplikasi KlikDokter untuk solusi kesehatan kamu. Jika ada pertanyaan, hubungi Customer Care via WhatsApp 0811800629 yang bisa diakses setiap hari selama 24 jam.",2023-01-03 15:29:23
23a56287-f7bf-4e95-820a-2fda775362cb,Jeffrey Hai,https://play-lh.googleusercontent.com/a/AAcHTtd9g3PENosnHEgWx0c42IfJjz60xrUnZ8GjB5hCHMQZ=mo,Chat delaynya luar biasa. Dan aplikasi cukup berat padahal di ram 12gb,1,0,,2023-01-01 20:49:22,"Dear Jeffrey Hai, mohon maaf atas ketidaknyamanannya. Ulasan kamu sangat membantu kami untuk memperbaiki pelayanan kami kedepannya. Jika berkenan silakan hubungi layanan Customer Care melalui WhatsApp 0811800629 yang bisa diakses 24 jam untuk membahas lebih lanjut ulasan kamu.",2023-01-01 21:27:43
bf10e8b0-398b-4248-ba91-296f03f8515c,Syah Firda Lula Hemada,https://play-lh.googleusercontent.com/a-/AD_cMMS66neshEqgYGgM5A6z3EqsPPjPMSeyrLOlubeYor_J1oY,"ga pernah kecewa tiap abis konsul di klikdokter, pokoknya TOP markotop",5,0,2.0.38,2022-12-31 13:26:05,"Dear Syah Firda Lula Hemada, terima kasih sudah menggunakan aplikasi KlikDokter untuk solusi kesehatan kamu. Jika ada pertanyaan, hubungi Customer Care via WhatsApp 0811800629 yang bisa diakses setiap hari selama 24 jam.",2022-12-31 13:40:32
